trial,CID,SID,GID,TID
SA15,388444,84,GID4961206,18998
SA15,388444,88,GID4961202,18998
SA15,388452,59,GID4961235,18998
SA15,388452,64,GID4961230,18998
SA15,388452,65,GID4961229,18998
SA15,388457,93,GID4961247,18998
SA15,388457,99,GID4961241,18998
SA15,431763,605,GID4975869,18998
SA15,431763,606,GID4975868,18998
SA15,431763,607,GID4975867,18998
SA15,431763,611,GID4975863,18998
SA15,431798,345,GID4976140,18998
SA15,431798,346,GID4976139,18998
SA15,431798,347,GID4976138,18998
SA15,431799,337,GID4976156,18998
SA15,431801,404,GID4976178,18998
SA15,399062,89,GID4936346,18998
SA15,394939,36,GID4961506,18998
SA15,394799,44,GID4961444,18998
SA15,394062,46,GID4934603,18998
SA15,394070,83,GID4934634,18998
SA15,394087,29,GID4934637,18998
SA15,398949,240,GID4936215,18998
SA15,388327,117,GID4970595,18998
SA15,388327,121,GID4970591,18998
SA15,399013,347,GID4961561,18998
SA15,399013,348,GID4961560,18998
SA15,425909,190,GID4908642,18998
SA15,398949,238,GID4936217,18998
SA15,366109,122,GID4774392,18998
SA15,158253,256,GID3844835,18998
SA16,306489,341,GID5174606,19373
SA16,423185,24,GID5345121,19373
SA16,423186,30,GID5345120,19373
SA16,423186,34,GID5345116,19373
SA16,423191,42,GID5345109,19373
SA16,423283,86,GID5344908,19373
SA16,423283,96,GID5344898,19373
SA16,428589,38,GID5343379,19373
SA16,428600,40,GID5343245,19373
SA16,428603,29,GID5343206,19373
SA16,428603,31,GID5343204,19373
SA16,428648,78,GID5342983,19373
SA16,394699,40,GID5347450,19373
SA16,394715,144,GID5347445,19373
SA16,428553,130,GID5343410,19373
SA16,454533,370,GID4948491,19373
SA16,425817,62,GID5344449,19373
SA16,425852,42,GID5344432,19373
SA16,425852,45,GID5344429,19373
SA16,425873,59,GID5344387,19373
SA16,425873,61,GID5344385,19373
SA16,425889,42,GID5344321,19373
SA16,425892,39,GID5344309,19373
SA16,426091,36,GID5344030,19373
SA16,423249,54,GID5344976,19373
SA16,411101,52,GID5345902,19373
SA16,411101,55,GID5345899,19373
SA16,414559,29,GID5345783,19373
SA16,373182,235,GID5421764,19373
SA16,386097,154,GID5421959,19373
SA16,386344,133,GID5422046,19373
SA16,422247,36,GID4906328,19373
SA16,394070,111,GID5636557,19373
SA16,366109,125,GID5636560,19373
SA17,435251,62,GID5423197,19658
SA17,435264,159,GID5423286,19658
SA17,435275,64,GID5423323,19658
SA17,435275,65,GID5423324,19658
SA17,435275,67,GID5423326,19658
SA17,435275,69,GID5423328,19658
SA17,437242,76,GID5423688,19658
SA17,437242,80,GID5423692,19658
SA17,437242,86,GID5423698,19658
SA17,437242,87,GID5423699,19658
SA17,437242,88,GID5423700,19658
SA17,437242,89,GID5423701,19658
SA17,436913,39,GID5423535,19658
SA17,436913,43,GID5423539,19658
SA17,425809,78,GID5422723,19658
SA17,425914,84,GID5422744,19658
SA17,425914,86,GID5422746,19658
SA17,452470,93,GID5428491,19658
SA17,450342,281,GID5427831,19658
SA17,454534,1223,GID5428538,19658
SA17,452364,43,GID5428200,19658
SA17,452377,91,GID5428283,19658
SA17,450346,92,GID5427842,19658
SA17,450351,72,GID5427924,19658
SA17,450351,79,GID5427931,19658
SA17,450352,62,GID5427939,19658
SA17,450355,86,GID5427955,19658
SA17,452449,139,GID5428443,19658
SA17,452449,146,GID5428450,19658
SA17,452449,150,GID5428454,19658
SA17,437257,72,GID5423753,19658
SA17,460354,93,GID5429336,19658
SA17,460354,98,GID5429341,19658
SA17,460356,139,GID5429403,19658
SA17,460356,141,GID5429405,19658
SA17,460356,145,GID5429409,19658
SA17,472868,32,GID5435731,19658
SA17,472918,51,GID5435798,19658
SA17,473237,30,GID5435851,19658
SA17,473245,45,GID5435890,19658
SA17,473247,37,GID5435911,19658
SA17,473251,30,GID5435924,19658
SA17,473259,56,GID5435954,19658
SA17,473281,60,GID5436044,19658
SA19,512755,69,GID5999970,120235
SA19,512797,154,GID5999989,120235
SA19,512844,121,GID6000027,120235
SA19,512786,100,GID6000219,120235
SA19,512908,124,GID6000229,120235
SA19,512908,133,GID6000238,120235
SA19,504237,155,GID6000355,120235
SA19,504237,165,GID6000365,120235
SA19,504248,70,GID6000384,120235
SA19,504248,76,GID6000390,120235
SA19,504250,113,GID6000404,120235
SA19,504457,64,GID6000537,120235
SA19,506887,98,GID6000614,120235
SA19,506887,101,GID6000617,120235
SA19,506887,103,GID6000619,120235
SA19,506887,107,GID6000623,120235
SA19,506898,48,GID6000648,120235
SA19,507062,97,GID6000906,120235
SA19,507062,100,GID6000909,120235
SA19,507064,86,GID6000917,120235
SA19,507102,57,GID6000973,120235
SA19,506830,98,GID6001013,120235
SA19,506830,99,GID6001014,120235
SA19,506830,101,GID6001016,120235
SA19,495230,91,GID6001072,120235
SA19,495241,91,GID6001093,120235
SA19,495447,74,GID6001172,120235
SA19,495447,81,GID6001179,120235
SA19,285851,1382,GID6001235,120235
SA19,504090,84,GID6001239,120235
SA19,504090,85,GID6001240,120235
SA19,494935,32,GID6001357,120235
SA19,494965,49,GID6001439,120235
SA19,494983,41,GID6001457,120235
SA19,495073,28,GID6001472,120235
SA19,495915,79,GID6001556,120235
SA19,496026,97,GID6001639,120235
SA19,496026,99,GID6001641,120235
SA19,496027,103,GID6001643,120235
SA19,496027,105,GID6001645,120235
SA19,496096,35,GID6001669,120235
SA19,496096,39,GID6001673,120235
SA19,496096,41,GID6001675,120235
SA19,512743,133,GID6001847,120235
SA19,494961,50,GID6001910,120235
SA19,494961,52,GID6001912,120235
SA20,522741,194,GID6278810,120529
SA20,522741,195,GID6278811,120529
SA20,522811,30,GID6278849,120529
SA20,522931,40,GID6278940,120529
SA20,522931,42,GID6278942,120529
SA20,522931,43,GID6278943,120529
SA20,522955,107,GID6278982,120529
SA20,522977,1253,GID6279005,120529
SA20,517169,36,GID6279186,120529
SA20,517201,66,GID6279213,120529
SA20,517201,67,GID6279214,120529
SA20,517338,197,GID6279341,120529
SA20,514487,56,GID6279585,120529
SA20,512788,49,GID6279600,120529
SA20,522317,85,GID6279628,120529
SA20,522317,88,GID6279631,120529
SA20,522317,89,GID6279632,120529
SA20,522326,335,GID6279671,120529
SA20,522437,184,GID6279825,120529
SA20,522437,188,GID6279829,120529
SA20,522437,189,GID6279830,120529
SA20,512886,49,GID6280037,120529
SA20,512126,121,GID6280095,120529
SA20,512126,125,GID6280099,120529
SA20,512126,129,GID6280103,120529
SA20,512148,49,GID6280120,120529
SA20,512148,50,GID6280121,120529
SA20,522740,124,GID6280144,120529
SA20,523019,88,GID6280202,120529
SA20,517174,106,GID6280250,120529
SA20,518884,49,GID6280379,120529
SA20,517413,103,GID6280455,120529
SA20,518959,58,GID6280483,120529
SA20,517568,109,GID6280551,120529
SA20,517568,111,GID6280553,120529
SA20,528177,62,GID6280578,120529
SA20,528177,67,GID6280583,120529
SA20,527264,79,GID6280588,120529
SA20,527264,82,GID6280591,120529
SA20,522740,208,GID6424850,120529
SA20,522319,120,GID6424861,120529
SA20,522319,122,GID6424863,120529
SA20,517316,64,GID6424879,120529
SA21,534008,82,GID6624336,42581
SA21,534074,103,GID6624365,42581
SA21,534228,114,GID6624383,42581
SA21,534533,199,GID6624392,42581
SA21,533984,46,GID6624406,42581
SA21,534026,212,GID6624418,42581
SA21,534051,97,GID6624429,42581
SA21,534563,127,GID6624440,42581
SA21,534608,130,GID6624455,42581
SA21,534512,210,GID6624504,42581
SA21,537343,203,GID6624544,42581
SA21,537376,32,GID6624585,42581
SA21,537391,18,GID6624594,42581
SA21,537391,19,GID6624595,42581
SA21,525936,103,GID6487396,42581
SA21,526295,54,GID6487525,42581
SA21,526311,55,GID6487536,42581
SA21,533947,122,GID6424301,42581
SA21,533947,133,GID6424312,42581
SA21,534024,141,GID6424402,42581
SA21,534025,131,GID6424422,42581
SA21,534026,157,GID6424425,42581
SA21,534026,166,GID6424434,42581
SA21,534098,133,GID6424629,42581
SA21,516624,40,GID6178247,42581
SA21,516631,60,GID6176213,42581
SA21,516634,44,GID6176224,42581
SA21,516634,45,GID6176225,42581
SA21,516641,62,GID6179255,42581
SA21,516682,16,GID6176334,42581
SA21,516693,22,GID6176360,42581
SA21,516827,52,GID6178888,42581
SA21,516958,14,GID6176870,42581
SA21,520091,60,GID6178972,42581
SA21,520118,20,GID6174798,42581
SA21,520170,72,GID6177005,42581
SA21,520211,27,GID6174859,42581
SA21,520212,13,GID6174860,42581
SA21,520220,12,GID6174877,42581
SA21,520227,46,GID6174889,42581
SA21,520235,16,GID6174892,42581
SA21,520509,33,GID6177544,42581
SA21,520525,70,GID6177552,42581
SA21,520526,98,GID6177563,42581
SA21,520792,37,GID6175067,42581
SA21,521024,46,GID6178040,42581
SA22,320358,57,GID3872194,43891
SA22,459355,73,GID5390612,43891
SA22,325362,63,GID4313703,43891
SA22,524510,63,GID6333158,43891
SA22,536310,61,GID6683490,43891
SA22,536399,15,GID6568153,43891
SA22,536399,74,GID6683597,43891
SA22,536531,82,GID6681908,43891
SA22,536610,54,GID6568342,43891
SA22,536614,25,GID6568347,43891
SA22,536829,48,GID6567939,43891
SA22,536858,25,GID6568710,43891
SA22,536958,48,GID6684042,43891
SA22,536996,271,GID6684163,43891
SA22,536997,66,GID6684197,43891
SA22,537001,74,GID6682839,43891
SA22,537019,38,GID6684207,43891
SA22,537037,58,GID6682935,43891
